@relation 'AT: wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute -0.514density+0.438alcohol-0.428residualsugar-0.408totalsulfur-0.296freesulfur... numeric
@attribute -0.581fixedacid+0.577pH-0.334citricacid+0.321freesulfur+0.261totalsulfur... numeric
@attribute 0.581volacid-0.523citricacid-0.446sulphates-0.264freesulfur+0.231residualsugar... numeric
@attribute '0.77 chlorides+0.348sulphates-0.296freesulfur-0.288residualsugar+0.247volacid...' numeric
@attribute '0.661volacid+0.423sulphates+0.332alcohol+0.29 totalsulfur+0.281fixedacid...' numeric
@attribute 0.528sulphates-0.497freesulfur-0.351chlorides+0.322density+0.271residualsugar... numeric
@attribute -0.714citricacid-0.409pH+0.287sulphates-0.274volacid-0.22residualsugar... numeric
@attribute -0.579fixedacid-0.553pH+0.374residualsugar+0.296sulphates-0.228totalsulfur... numeric
@attribute '0.627alcohol+0.403residualsugar+0.397chlorides+0.329fixedacid+0.25 pH...' numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
1.298027,1.105719,2.092115,0.538397,-0.442465,0.931068,1.069416,0.39686,-0.141403,5
-0.401946,-0.357205,0.091982,-0.068374,-1.742587,-0.142313,-0.046563,-1.189273,0.524589,5
-0.198753,-0.099659,0.562722,0.474353,-1.836427,0.272761,-0.016695,-1.23152,-0.334498,6
-0.325525,-0.093652,-1.132133,1.264365,-2.008584,-1.921217,-0.364792,-0.254556,-0.062825,6
0.297488,-0.497192,1.454153,-0.399055,0.620044,0.157449,0.255568,-0.474657,-0.066326,5
-1.168606,2.018596,-0.691408,-0.325551,-0.030158,0.330798,-0.289634,-1.024983,-0.133861,7
0.078216,0.973405,-1.681345,0.397208,0.826971,-0.78234,-1.329399,0.192207,-0.724392,7
0.044836,1.021923,-1.687141,0.48823,0.823396,-0.80735,-1.346992,0.126523,-0.704137,6
-1.168606,2.018596,-0.691408,-0.325551,-0.030158,0.330798,-0.289634,-1.024983,-0.133861,7
-3.117445,1.531647,0.20354,-0.364715,1.556279,-0.09285,-0.642117,-0.001149,-0.835635,5
-2.361941,1.091895,0.358223,-1.063989,-0.351487,0.889934,0.086686,0.068218,0.082279,5
-1.781335,1.209033,0.116954,-0.751622,0.188382,-0.030663,1.067887,-0.516119,-0.707293,5
-2.123535,1.001867,0.147032,-0.760879,0.102842,1.104881,-0.199531,0.202508,0.248299,5
0.881652,-1.621896,-0.617528,-0.825723,0.055322,-0.612467,0.194691,-1.166987,-0.253795,6
-2.418715,-0.862889,-0.522909,-0.003902,0.326505,-0.406319,-2.147744,0.008426,-1.104613,5
1.903574,-1.427975,-0.538735,0.0473,0.605497,0.845428,-0.277537,-0.780171,0.449946,6
1.531183,0.072585,0.556938,0.638814,-0.825065,0.294425,-0.728157,-0.265584,-0.546716,5
-2.418715,-0.862889,-0.522909,-0.003902,0.326505,-0.406319,-2.147744,0.008426,-1.104613,5
0.959982,-0.851425,-1.35447,0.07724,0.166347,0.074325,0.337582,-0.721045,0.113549,6
1.445973,-1.814678,-1.022615,0.171771,0.05059,0.683886,0.349901,-0.389418,0.197279,6
1.400081,-0.713539,-0.072756,-0.349387,-0.383214,-1.321169,0.236167,0.720645,-0.85928,6
0.536642,1.65189,-0.475487,-0.648486,-1.369768,-1.4874,0.393578,-0.316926,-0.654028,6
0.46101,0.891729,3.638514,1.51734,0.168903,0.388406,-0.754649,-1.152094,-0.674933,4
0.067391,-1.251007,0.790258,0.267125,-1.099073,-0.378126,0.635279,0.133697,-0.820961,6
-0.158124,-1.13646,-0.198171,-1.215007,-0.105232,-1.198318,-0.125388,-0.583039,0.953821,7
-1.722523,-0.789621,-0.925757,-0.590885,-0.73195,-0.519334,-0.266096,-0.071856,0.608313,6
0.067391,-1.251007,0.790258,0.267125,-1.099073,-0.378126,0.635279,0.133697,-0.820961,6
0.889907,-0.862834,-1.044331,0.044734,-0.786466,-0.635624,0.229662,-0.161866,-0.210153,5
-0.425461,-1.766646,-1.274379,1.523134,0.567013,2.967562,0.918496,0.661005,0.018997,6
-3.261954,-1.300255,0.145279,-0.311847,-0.407695,-0.833861,0.378819,0.667007,-0.186331,6
2.351845,1.052396,0.391489,-0.385381,0.355739,-0.936074,-0.089138,-0.044777,0.336747,7
2.746906,2.443117,2.308857,-0.460511,0.289322,-1.373549,0.204375,-0.13981,0.146383,8
-2.309249,-1.326059,-0.005081,-0.250138,-1.193683,0.005463,-1.293964,1.22743,-0.71964,5
-2.617577,0.865653,-0.376633,-0.791024,-0.001502,-0.531645,0.232969,0.332516,0.11249,5
-2.46337,0.621643,-0.550591,-0.930244,-0.062732,-0.616768,0.211665,0.307038,0.574573,5
-2.238045,-0.959883,-1.054679,0.187174,0.959355,0.497026,0.092303,-0.837706,-0.00523,6
-0.757332,-4.618897,1.567319,-0.423456,0.923418,0.280871,-0.663936,-1.13098,-0.14481,5
2.134962,-2.064469,1.490726,0.626073,1.303595,-0.382882,-0.515156,-0.319502,-0.739052,4
1.329934,0.315151,-0.344635,-0.618228,-0.869225,-0.743734,-1.421545,-0.462541,0.173587,7
0.102592,-0.56269,0.008401,-1.432493,-0.471724,-1.734041,-0.534789,-0.008189,0.384559,6
2.056738,-2.071764,0.142496,0.005093,0.334914,-0.417254,-0.977984,0.907869,0.54456,4
-1.897633,1.491378,0.441441,-0.730572,-1.232181,-0.488727,-0.393358,0.199688,0.208816,5
-1.029467,1.05218,-0.863891,0.693868,0.23892,0.616896,0.800914,0.31011,-0.867517,6
-0.984483,1.082429,-0.292121,0.760708,0.709558,0.461795,0.577086,0.267726,-0.923085,6
-0.790884,0.664271,0.76423,-0.007853,0.358326,-1.57173,1.832061,-0.827561,-0.744684,5
-3.947013,-0.705302,0.764218,-0.975353,-0.306723,0.771144,-0.217173,1.659445,-0.00167,5
-3.131052,0.997936,-0.765603,-0.53571,0.707427,-0.185716,-0.013063,0.281767,0.169254,6
-3.152268,0.106856,-1.698713,-0.476607,1.038313,-0.427136,-0.251093,1.01812,-0.864802,5
-3.264712,0.182187,-1.557405,-0.446162,1.274111,-0.518066,-0.31321,0.996876,-0.904018,5
-1.308149,0.285443,-0.995453,-0.291871,0.367768,0.287683,0.162904,0.713711,-0.372298,6
1.035096,0.855914,0.430664,-0.264556,0.040753,-0.311623,0.537836,0.759896,-0.282999,5
2.113541,0.219925,0.807791,0.607418,2.464705,0.100394,-0.986818,0.275653,0.272338,8
-3.947013,-0.705302,0.764218,-0.975353,-0.306723,0.771144,-0.217173,1.659445,-0.00167,5
0.57121,-1.10708,0.60901,-0.524872,-0.211988,-0.662189,-0.245906,0.71114,0.200592,6
0.054696,0.542581,-0.498239,0.181994,-1.757942,0.047603,-0.25948,-0.762947,0.038646,5
-3.026786,0.109619,-0.292121,4.772097,-1.665901,-4.641195,0.61361,1.081967,1.411361,5
-3.011548,0.03152,-0.17961,4.565505,-1.722076,-4.75885,0.562311,1.016033,1.33973,5
-2.067233,0.857824,0.223569,-0.310027,-0.142699,-0.705445,1.086768,-0.400272,-0.557059,5
-2.067233,0.857824,0.223569,-0.310027,-0.142699,-0.705445,1.086768,-0.400272,-0.557059,5
-2.851162,0.833738,0.53958,-0.805799,-0.075502,0.207711,0.440591,0.325385,0.362351,5
-2.822267,0.499825,0.855303,-0.453598,0.254924,-0.038359,0.800287,-0.090061,-0.190955,5
-2.767797,1.137207,1.517259,0.065703,2.118264,-0.555875,-0.56641,-0.255991,-0.29204,5
-0.040306,0.685899,-0.176851,-0.918676,0.362673,0.844723,-0.819684,0.381914,1.446292,6
0.903527,0.93615,-0.178466,0.72236,-0.599944,-0.291979,-0.348514,0.269696,-0.595342,4
-1.961239,-0.140748,-0.480567,-0.645873,-1.076335,-0.006286,-0.985845,0.427805,-0.796782,5
1.271739,0.550903,1.096235,2.08253,2.128593,1.940001,-0.397625,-0.035342,-0.822221,5
0.199244,1.276756,-0.312241,1.877985,1.427781,0.982747,0.566762,0.312905,-1.596034,6
1.424103,0.434706,1.505649,-0.616844,-1.877411,0.981846,-0.985232,0.372645,-0.014329,5
1.434696,0.41531,-1.554776,0.187857,-0.170537,0.425756,0.011471,-0.223469,0.106249,7
0.291733,0.74621,-0.222403,-0.112295,-2.109748,0.211817,-0.301244,-1.292291,0.321019,6
-0.985633,1.705069,0.744767,-0.771051,-1.125142,-0.450403,-0.135466,-0.138048,-0.190486,5
-2.403227,2.061017,1.02459,-1.147236,-0.812013,0.299008,-0.448102,0.562585,0.458055,5
-0.264825,-1.103136,0.076579,-1.338378,-0.153019,-1.164683,0.138609,-0.301475,0.178684,5
-1.987971,-0.143837,3.116141,1.783534,2.494355,-0.127618,0.38564,0.278351,-0.727012,6
1.928634,0.838107,0.073569,-0.436965,-0.483366,-0.176109,0.112127,-0.278932,-0.220868,7
0.409718,1.034491,-0.256324,0.087677,-1.532231,-0.14701,-0.135024,-1.587134,-0.793951,6
0.929964,1.625864,1.292001,1.133053,1.225626,0.133866,-0.278543,-0.739543,-0.537584,6
-2.686974,0.049802,0.531109,-0.762656,-1.279595,0.982601,-1.339377,-0.460987,0.426378,5
-0.247942,2.023921,-1.151347,0.20828,-0.797465,-0.15049,-0.110859,-1.53378,-0.304864,6
-3.126307,1.255981,-0.671637,-0.974616,0.726755,-0.794406,0.779407,-0.652909,-0.464386,6
-0.247942,2.023921,-1.151347,0.20828,-0.797465,-0.15049,-0.110859,-1.53378,-0.304864,6
-2.686974,0.049802,0.531109,-0.762656,-1.279595,0.982601,-1.339377,-0.460987,0.426378,5
-1.031736,1.416274,3.742356,1.482811,1.163199,0.711301,-0.200273,-1.102918,-0.14683,4
-1.795218,-0.130663,-0.586272,-0.105913,0.571294,0.60397,-0.355336,-1.868565,0.1983,6
-3.013862,-0.142414,-0.045475,-0.583612,-0.481138,-0.454163,0.109407,0.130858,0.151585,6
-3.013862,-0.142414,-0.045475,-0.583612,-0.481138,-0.454163,0.109407,0.130858,0.151585,6
-3.013862,-0.142414,-0.045475,-0.583612,-0.481138,-0.454163,0.109407,0.130858,0.151585,6
-3.013862,-0.142414,-0.045475,-0.583612,-0.481138,-0.454163,0.109407,0.130858,0.151585,6
-1.373161,2.174639,0.366981,-0.054634,-0.429486,2.435851,-0.275234,-0.130415,0.588211,6
-2.802436,0.621296,1.031811,-0.448214,0.012477,0.230622,0.486669,-0.642765,0.083251,5
0.475823,-1.04508,0.758704,-0.285659,0.192157,1.11568,0.429574,-0.206214,0.151454,5
-2.050267,-0.694727,0.288491,0.109352,0.330135,0.132468,-1.677361,0.225803,-1.099098,5
0.363825,2.068124,-2.281343,0.791835,1.107376,1.004865,0.390577,-0.197762,-0.547873,6
2.128476,0.160953,-0.964736,-0.261713,0.779917,0.275405,0.886358,0.405258,0.379356,7
2.678163,0.098978,0.51395,-0.300911,-1.6248,0.130522,-0.259619,0.029355,-0.601694,7
0.220544,1.362671,2.318814,0.073253,-0.199814,1.334323,-0.45283,-0.372989,0.019023,5
-2.971584,-0.967246,0.765707,0.043399,0.226739,0.166267,1.432059,-0.238483,1.481483,3
-2.050267,-0.694727,0.288491,0.109352,0.330135,0.132468,-1.677361,0.225803,-1.099098,5
2.484028,0.91162,-0.375065,0.081107,-0.840725,0.789217,-2.176466,-0.603903,-0.094722,3
-0.042493,0.865807,-0.676543,0.768562,-0.683653,-0.48921,-0.025019,0.170169,-1.335767,6
1.657701,-0.048314,1.272127,0.136206,-0.303854,0.640376,-0.913923,-0.071998,-0.251158,7
1.657701,-0.048314,1.272127,0.136206,-0.303854,0.640376,-0.913923,-0.071998,-0.251158,7
2.907355,-0.234206,1.115496,0.457923,-0.615325,-0.112744,-1.582171,0.003199,-0.73771,4
0.402094,0.075823,-0.797972,-0.279949,-1.704729,0.125603,-0.140266,-0.608162,0.39625,6
-3.069333,-1.10173,0.934567,-0.864533,-0.322945,0.819321,-0.305426,1.374275,-0.269208,5
0.506011,-1.179703,0.880933,-0.418595,-0.986678,0.344597,-1.097195,-0.152164,-0.304092,5
-3.231678,0.505941,-0.735945,-0.725048,1.154803,-0.321641,0.345618,0.409931,-0.040941,6
-3.069333,-1.10173,0.934567,-0.864533,-0.322945,0.819321,-0.305426,1.374275,-0.269208,5
-1.349551,0.678153,0.671699,0.450213,-0.006976,0.450865,0.256457,-0.631957,-0.308301,6
0.161675,2.733042,2.762361,0.937367,1.356069,0.579736,0.172105,0.207887,-0.871101,5
0.155339,2.709528,2.817524,0.979363,1.345861,0.605156,0.140707,0.245621,-0.829418,6
-1.349551,0.678153,0.671699,0.450213,-0.006976,0.450865,0.256457,-0.631957,-0.308301,6
0.180464,2.758892,2.888193,1.062258,1.464598,0.61061,0.128936,0.353807,-0.936636,5
-1.416717,1.328095,1.040721,-0.572762,-1.45845,0.072005,-0.464031,0.203859,0.095279,5
-2.915358,0.073376,-1.436998,-0.241434,1.247654,-0.543916,-0.277643,0.601514,-0.767487,5
-1.360884,0.38255,-1.17083,-0.306585,-0.209221,-0.01511,0.192717,0.579976,-0.263391,6
-1.336581,0.303157,-1.138369,-0.313104,-0.081719,0.121607,0.186645,0.553245,-0.262259,6
1.673035,-2.816449,-0.081771,0.581766,-0.135368,0.381044,0.60414,0.589384,-0.732753,5
1.786849,-1.320341,0.581841,0.691344,-0.239533,0.219091,0.100183,0.455046,-0.728715,4
1.730772,-0.408477,-1.324297,0.682701,1.258976,1.143907,-0.985353,0.575539,0.390299,7
2.341971,-0.755382,-0.161478,-0.588349,-0.040174,-0.588534,-0.442617,-0.152556,0.533941,8
1.471901,0.375234,-1.559599,0.348481,0.946143,-0.066403,-1.847365,0.993038,0.097583,8
-2.759646,0.8841,0.835913,-0.331111,0.23113,0.08352,-0.142075,0.224485,0.223375,5
-1.799959,-0.011177,0.678141,0.16487,0.098181,-0.469034,1.040273,-0.443254,-0.537609,5
-2.460547,1.021538,0.26161,-0.452889,-0.067387,0.199874,-0.287174,0.449716,0.443815,6
-3.005462,-0.642807,-0.069804,-0.420484,-0.315174,-0.2657,0.393465,0.625764,-0.108018,7
-3.005462,-0.642807,-0.069804,-0.420484,-0.315174,-0.2657,0.393465,0.625764,-0.108018,7
-3.005462,-0.642807,-0.069804,-0.420484,-0.315174,-0.2657,0.393465,0.625764,-0.108018,7
0.065717,2.325462,-0.959248,-0.626569,-1.213695,-0.10676,-0.535427,-0.754251,0.414393,6
-4.051033,-0.914387,0.519834,-0.561756,-0.153136,-0.289946,-0.179351,0.899884,0.535725,5
-0.198404,1.969156,0.070068,0.56986,-0.054362,1.645817,0.099354,-0.474173,-0.140509,7
0.107997,1.607112,0.062329,0.80606,0.164197,0.037463,0.153891,-0.990762,-1.019949,6
-2.419654,-1.998553,-0.995475,0.526464,1.540862,0.476559,-1.771366,-0.207174,-0.677898,5
-0.840533,0.771616,-2.580437,-0.781443,1.030264,-1.368029,0.450901,0.052904,0.324953,7
-1.891873,-0.316465,-1.086731,-1.078211,-0.54059,-0.417898,-0.178301,-0.060303,0.670103,6
1.749268,1.855011,1.357603,1.655594,0.678788,0.560573,1.850302,0.44511,0.331847,6
1.03336,1.650657,0.313658,0.270664,-0.160444,-1.188133,0.359739,-0.483329,0.042708,6
-0.789598,0.191364,1.3776,0.32868,0.540362,-0.649869,0.221759,-0.810035,0.064988,6
-0.777346,0.249086,1.524939,0.436938,0.616991,-0.662561,0.135233,-0.754609,-0.001292,5
0.76362,0.479844,0.887313,-0.226558,-0.126898,-0.23246,-0.101755,0.000924,-0.614431,7
0.537403,0.712595,0.719639,-0.393625,-0.175195,-0.502686,0.04795,-0.121411,-0.528557,6
2.185457,1.389921,-0.148114,1.146118,0.9787,1.617189,-0.203114,0.192775,-0.134875,7
1.604966,3.454926,2.100338,-0.00241,1.814997,0.060354,-1.176617,0.134058,0.507835,8
-0.367862,-0.1537,-0.685373,0.001013,-0.135086,0.121453,-0.549161,-1.683574,0.056622,6
-0.323336,2.307457,0.276634,0.111184,0.791924,0.304453,0.508528,0.450381,-0.559527,6
-0.335888,2.197047,0.197796,0.120323,0.632375,0.274336,0.565314,0.352217,-0.469996,5
-1.149256,-1.15022,-0.913402,3.417597,-1.281474,-2.370327,-0.771006,0.43448,-0.125863,6
0.689022,-0.11673,0.091032,-0.762181,-0.421945,-0.399899,-0.257566,-0.451935,-0.315316,6
1.881665,1.346835,-0.649271,0.731443,-1.884129,2.210766,-0.185738,-0.647241,0.104616,6
2.284427,1.804233,-1.074115,0.83487,-1.964577,2.085159,-0.085014,-0.853959,0.218029,7
0.182912,-0.07074,0.230967,-1.021859,-0.630936,-0.273745,-0.447321,-0.07824,-0.19232,5
0.689022,-0.11673,0.091032,-0.762181,-0.421945,-0.399899,-0.257566,-0.451935,-0.315316,6
-0.293201,-0.576799,0.232286,-0.986222,-0.322779,-0.28366,-1.06995,0.020668,-0.294736,6
-3.594044,2.623972,-2.315179,-1.263033,2.383657,-3.430526,1.896417,-0.675598,0.675051,5
-2.764403,-1.06272,-0.508998,-0.675556,1.125319,0.644786,0.478933,0.530317,0.105879,6
-0.126419,1.018025,0.242549,0.383971,0.750498,0.860896,0.77512,0.447636,-0.509589,6
2.015264,0.927874,-0.564362,-0.035701,0.970601,0.578404,-0.704078,0.367387,0.637096,8
-0.550623,-0.266594,0.636909,-0.463307,-0.494344,0.324546,-0.247119,0.471793,-0.482374,5
1.970606,0.337843,1.127917,-0.348043,-1.324192,0.565075,-0.599561,0.4356,-0.43212,5
2.608356,0.028542,0.175421,-0.248612,-0.77306,0.052939,-0.425392,-0.159673,0.054941,6
2.193448,0.204897,-0.03176,0.056352,-0.829954,0.155449,-0.567694,-0.422562,-0.251922,6
-1.731232,1.689433,0.690322,-0.793656,-0.847322,-0.18912,-0.281271,0.195984,-0.129046,6
0.253328,-1.101314,-0.545455,0.779013,-0.051502,0.820436,0.381789,-1.150458,-0.255542,6
0.012391,1.77356,-1.638526,1.445078,0.700417,0.375427,-0.491324,1.175397,-1.071005,5
0.02104,1.771461,-1.73972,1.312788,0.561712,0.319769,-0.448953,1.149055,-1.052332,6
-0.027977,-0.092299,-0.452509,-0.106562,-1.558413,-0.049712,0.119683,-0.964315,-0.031994,6
2.953816,1.557586,1.299111,0.299419,-0.308317,0.80931,0.405784,0.083711,-0.224177,7
