@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-V-R11,8,5,7,4,3,6,2,9,1,10,12'

@attribute alcohol numeric
@attribute density numeric
@attribute chlorides numeric
@attribute totalsulfur numeric
@attribute residualsugar numeric
@attribute citricacid numeric
@attribute freesulfur numeric
@attribute volacid numeric
@attribute pH numeric
@attribute fixedacid numeric
@attribute sulphates numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
8.7,0.9975,0.044,152,11.8,0.62,52,0.44,3.12,7.1,0.46,6
9.7,0.9972,0.05,202,13.3,0.31,69,0.25,3.22,6.8,0.48,6
8.7,0.9974,0.045,155,11.8,0.61,54,0.43,3.11,7.1,0.45,5
8.7,0.9975,0.044,152,11.8,0.62,52,0.44,3.12,7.1,0.46,6
8.7,0.9974,0.044,156,11,0.63,55,0.39,3.09,7.2,0.44,6
9,0.9957,0.049,243,7.5,0.43,65,0.27,3.12,6.1,0.47,5
12.6,0.99,0.035,136,1.7,0.33,47,0.24,3.26,6.9,0.4,7
12.6,0.9899,0.034,136,1.8,0.33,48,0.21,3.25,6.9,0.41,7
11.5,0.9916,0.04,148,1.7,0.32,51,0.17,3.21,7.5,0.44,7
9.2,0.9969,0.044,240,12.4,0.29,62,0.26,3.04,7.1,0.42,6
10.1,0.9956,0.038,83,10.5,0.46,4,0.36,2.89,9.8,0.3,4
9.1,0.9975,0.06,192,13.5,0.37,52,0.25,3,7.4,0.44,5
9.4,0.997,0.05,164,12.1,0.24,55,0.21,3.34,6,0.39,5
9.1,0.9975,0.06,192,13.5,0.37,52,0.25,3,7.4,0.44,5
9.2,0.9974,0.051,109,14.4,0.32,34,0.13,3.2,7.3,0.35,6
9.4,0.9962,0.054,162,9.6,0.32,64,0.12,3.4,7.1,0.41,5
9.1,0.999,0.04,171,16.5,0.35,60,0.23,3.16,7.1,0.59,6
10.3,0.9927,0.051,187,1.3,0.28,37,0.33,3.27,6.9,0.6,5
8.9,1,0.052,255,18.75,0.46,45,0.27,3.04,7.2,0.52,5
9.1,0.9968,0.049,150,9.2,0.34,29,0.41,3.22,6.7,0.51,5
11.3,0.9914,0.041,143,3.3,0.24,25,0.31,3.31,6,0.44,6
11.8,0.9911,0.035,85,1.7,0.4,16,0.14,3.19,7,0.42,6
9.2,0.9982,0.06,196,13.3,0.48,57,0.32,3.04,7.3,0.5,5
10.2,0.9934,0.046,87,5.7,0.04,21,0.36,3.22,5.9,0.51,5
9.7,0.9952,0.059,131,6.85,0.31,31,0.16,3.29,7.4,0.34,5
9.1,0.9952,0.058,146,5,0.28,14,0.19,3.29,6.9,0.36,6
9.8,0.9928,0.092,158,1.6,0.47,40,0.13,3.21,6.4,0.36,6
10.5,0.994,0.033,126,7,0.23,29,0.39,3.14,7.4,0.42,5
9.7,0.9958,0.038,203,7.6,0.32,48,0.24,3.45,6.5,0.54,7
10.9,0.9924,0.044,179,2.8,0.56,47,0.3,3.3,6.1,0.57,7
10.9,0.9924,0.046,184,2.7,0.56,46,0.3,3.31,6.1,0.57,6
9.7,0.9958,0.038,203,7.6,0.32,48,0.24,3.45,6.5,0.54,7
9,0.9979,0.038,241,13.1,0.4,59,0.425,3.23,6.5,0.57,5
9.2,0.9982,0.035,188,15.8,0.27,46,0.24,3.24,6.6,0.51,5
8.9,0.9961,0.034,203,8.1,0.22,55,0.27,3.19,6.8,0.52,5
9.6,0.9979,0.036,179,15.7,0.31,44,0.27,3.26,6.7,0.56,5
10.7,0.992,0.027,121,1.2,0.4,36,0.23,3.12,8.2,0.38,6
8.7,0.9975,0.045,155,10.5,0.67,49,0.37,3.16,7.1,0.44,5
11.8,0.9923,0.029,79,1.9,0.39,18,0.28,3.23,8.1,0.52,6
10.2,0.9927,0.045,77,2.2,0.34,20,0.31,3.3,6.3,0.43,5
8.7,0.9975,0.045,155,10.5,0.67,49,0.37,3.16,7.1,0.44,5
10.8,0.992,0.039,107,1.2,0.4,38,0.21,3.21,7.9,0.54,6
11.2,0.9921,0.037,87,2,0.4,19,0.2,3.12,8.1,0.54,6
10.9,0.9905,0.04,114,1.1,0.37,37,0.255,3,6.3,0.39,6
10.1,0.9918,0.044,168,1.4,0.27,53,0.16,3.28,5.6,0.37,6
9,0.9951,0.058,97,5.2,0.14,15,0.595,3.38,6.4,0.36,4
9.4,0.994,0.054,116,4.1,0.3,23,0.25,2.99,6.9,0.38,6
11.5,0.9934,0.043,152,8,0.38,46,0.22,3.12,7.9,0.32,7
9.9,0.9968,0.055,135,10.2,0.46,58,0.18,3.14,7.6,0.43,6
9.4,0.994,0.054,116,4.1,0.3,23,0.25,2.99,6.9,0.38,6
10.4,0.9919,0.048,97,1.2,0.41,41,0.18,3.14,7.2,0.45,5
9.7,0.9966,0.049,76,7.5,0.4,12,0.23,3.06,8.2,0.84,6
8.9,0.9979,0.066,198,14,0.42,48,0.24,2.89,7.4,0.42,6
12.4,0.9898,0.036,124,1.5,0.24,38,0.32,3.29,6.1,0.42,7
12.1,0.9894,0.036,119,1.4,0.04,43,0.44,3.36,5.2,0.33,8
9.1,0.998,0.055,159,14.5,0.56,27,0.22,2.98,6.4,0.4,5
9.5,0.997,0.05,205,13.1,0.35,64,0.24,3.15,6.7,0.5,5
9.8,0.9972,0.051,177,13,0.36,72,0.23,3.16,7,0.49,5
9.6,0.9974,0.048,197,8.7,0.46,39,0.27,3.14,8.4,0.59,6
10,0.9958,0.034,110,9.85,0.48,5,0.42,2.87,9.8,0.29,5
11.4,0.9902,0.037,100,0.8,0.37,4,0.48,3.03,7.6,0.39,4
11.5,0.9918,0.038,130,4.55,0.43,31,0.22,3.35,6.3,0.33,7
11.4,0.9927,0.04,151,7.5,0.4,50,0.23,3.11,6.9,0.27,6
12.6,0.991,0.044,65,5.1,0.47,19,0.32,3.03,7.2,0.41,4
9.4,0.9972,0.054,170,12.9,0.3,57,0.23,3.28,5.9,0.39,5
9.2,0.995,0.049,176,5.5,0.32,41,0.25,3.19,6.4,0.68,6
9.3,0.9951,0.048,173,5.5,0.31,42,0.33,3.19,6.4,0.66,6
9.2,0.9936,0.053,183,1.2,0.15,61,0.34,3.09,7.1,0.43,5
8.7,1.001,0.048,167,22,0.4,48,0.28,2.93,6.8,0.5,5
9.6,0.9979,0.05,227,14,0.4,64,0.27,3.18,6.9,0.58,6
9.3,0.997,0.043,226,11.9,0.56,64,0.26,3.02,6.8,0.63,5
9.3,0.9972,0.043,230,11.9,0.56,66,0.29,3.02,6.8,0.63,5
9.9,0.9954,0.04,166,9.4,0.41,49,0.24,3.12,6.7,0.61,6
11,0.9924,0.038,119,4.2,0.23,42,0.3,3.15,5.9,0.5,5
12.7,0.9906,0.034,109,3.8,0.35,26,0.53,3.26,6.8,0.57,8
8.7,1.001,0.048,167,22,0.4,48,0.28,2.93,6.8,0.5,5
11.4,0.9928,0.045,123,8,0.36,28,0.28,3.02,6.8,0.37,6
9.6,0.9942,0.055,125,5.1,0.34,34,0.15,3.36,6.6,0.42,5
9.1,0.9942,0.2,181,3.6,0.44,75,0.29,3.02,6.4,0.41,5
9.1,0.9942,0.197,183,3.6,0.44,75,0.29,3.01,6.4,0.38,5
8.9,0.9961,0.052,214,7.8,0.24,54,0.26,3.13,6.8,0.47,5
8.9,0.9961,0.052,214,7.8,0.24,54,0.26,3.13,6.8,0.47,5
9.3,0.9984,0.049,196,16.1,0.26,55,0.27,3.15,6.8,0.5,5
8.8,0.998,0.05,204,13.1,0.24,52,0.32,3.1,7.1,0.49,5
9.6,0.9973,0.05,236,13.2,0.32,53,0.54,3.2,6.9,0.5,5
12,0.9949,0.034,134,13.9,0.34,39,0.26,3.33,6.8,0.53,6
10.2,0.9924,0.053,114,2.3,0.35,36,0.28,3.28,5.8,0.5,4
8.8,0.9972,0.042,153,11.6,0.5,45,0.21,3.15,6.4,0.43,5
10.2,0.9938,0.04,77,2.2,0.29,15,0.57,3.32,6.8,0.74,5
9.5,0.993,0.048,170,0.9,0.31,23,0.4,3.22,6.1,0.77,6
10.5,0.994,0.032,68,9.7,0.25,12,0.245,3.31,5.6,0.34,5
11.2,0.9918,0.038,111,1.4,0.38,35,0.18,3.32,6.8,0.59,7
9.7,0.9944,0.051,122,5.3,0.29,31,0.13,3.44,6.7,0.37,6
9.4,0.9961,0.044,152,9.2,0.24,55,0.26,3.31,5.8,0.38,5
9.4,0.9989,0.044,167,17.5,0.24,60,0.28,3.31,5.7,0.44,5
11,0.9938,0.036,161,7,0.36,43,0.23,3.04,7.5,0.32,5
9.1,0.9971,0.07,172,9.5,0.21,33,0.685,3,7.2,0.55,6
11.1,0.9912,0.03,105,1.4,0.25,35,0.25,3.3,6.2,0.44,7
9.1,0.9936,0.043,144,0.8,0.3,33,0.19,3.42,6.5,0.39,6
10.4,0.9929,0.046,140,1.8,0.22,31,0.495,3.39,6.3,0.54,6
8.7,0.9998,0.046,145,17.8,0.41,39,0.24,3.32,7.1,0.39,5
9.7,0.9938,0.048,200,2.4,0.32,41,0.17,3.5,6.4,0.5,6
9.1,0.9969,0.041,272,10.3,0.32,66,0.25,3.17,7.1,0.52,6
9.7,0.9938,0.048,200,2.4,0.32,41,0.17,3.5,6.4,0.5,6
8.7,0.9998,0.046,145,17.8,0.41,39,0.24,3.32,7.1,0.39,5
8.9,0.9972,0.062,142,9.7,0.08,26,0.64,3.37,6.8,0.46,4
9.6,0.9976,0.041,194,7.8,0.4,38,0.28,3.34,8.3,0.51,6
9,0.9979,0.058,194,14.3,0.38,55,0.23,3.09,7.2,0.44,6
9,0.9979,0.058,194,14.3,0.38,55,0.23,3.09,7.2,0.44,6
9,0.9979,0.058,194,14.3,0.38,55,0.23,3.09,7.2,0.44,6
9,0.9979,0.058,194,14.3,0.38,55,0.23,3.09,7.2,0.44,6
9.6,0.9982,0.039,159,15.55,0.21,28,0.25,3.48,6.2,0.64,6
8.7,0.9985,0.05,197,13.7,0.23,49,0.32,3.2,7.3,0.46,5
10.4,0.9944,0.031,90,7.8,0.26,23,0.31,3.13,7.7,0.5,5
8.7,0.9975,0.043,142,11.2,0.56,40,0.4,3.14,6.9,0.46,5
11.3,0.9923,0.038,249.5,2,0.36,20,0.18,3.37,6.1,0.79,6
12.6,0.99,0.03,139,2.1,0.27,26,0.21,3.16,6.8,0.61,7
10.9,0.9905,0.031,77,1.4,0.27,12,0.2,3.25,5.8,0.36,7
10,0.996,0.037,119,10.4,0.14,18,0.41,3.38,6.1,0.45,5
9.8,0.998,0.074,197,16.2,0.21,41,0.26,3.02,8.5,0.5,3
8.7,0.9975,0.043,142,11.2,0.56,40,0.4,3.14,6.9,0.46,5
11.7,0.9913,0.029,109,3.5,0.44,5,0.24,3.53,5.8,0.43,3
9.3,0.9932,0.054,158,1.5,0.39,37,0.24,3.21,5.8,0.52,6
11,0.9927,0.035,97,5.7,0.3,8,0.35,3.27,6.3,0.41,7
11,0.9927,0.035,97,5.7,0.3,8,0.35,3.27,6.3,0.41,7
11.4,0.9904,0.037,75,0.9,0.38,3,0.36,3.28,5.8,0.34,4
10.2,0.9939,0.048,108,5.4,0.35,36,0.115,3.32,6.9,0.42,6
8.9,0.9996,0.043,156,19.45,0.4,36,0.29,2.93,6.9,0.47,5
10.2,0.9944,0.036,95,8.2,0.4,15,0.28,3.17,6.9,0.33,5
9.6,0.9977,0.045,231,13.6,0.4,66,0.29,3.08,7.2,0.59,6
8.9,0.9996,0.043,156,19.45,0.4,36,0.29,2.93,6.9,0.47,5
9.2,0.9965,0.053,180,8.3,0.26,32,0.32,3.25,6.9,0.51,6
9.7,0.9944,0.043,149,6.9,0.07,34,0.58,3.34,5.3,0.57,5
9.7,0.9945,0.044,145,7.1,0.07,34,0.585,3.34,5.3,0.57,6
9.2,0.9965,0.053,180,8.3,0.26,32,0.32,3.25,6.9,0.51,6
9.7,0.9944,0.044,147,7,0.07,33,0.6,3.33,5.2,0.58,5
9.3,0.9972,0.051,148,13.1,0.26,44,0.25,3.29,5.8,0.38,5
9.5,0.9966,0.046,234,10.7,0.54,59,0.29,3.05,7,0.61,5
9.8,0.9954,0.046,169,8.9,0.41,51,0.19,3.14,6.6,0.57,6
9.8,0.9954,0.044,166,9.1,0.41,50,0.2,3.14,6.7,0.58,6
10.6,0.9915,0.042,60,1.1,0.4,9,0.26,2.89,7.7,0.5,5
10.6,0.9919,0.044,67,1.2,0.34,14,0.32,3.05,6.8,0.47,4
12.4,0.9916,0.036,105,4.7,0.49,17,0.3,3.26,7,0.68,7
12.6,0.99,0.034,112,2.8,0.36,22,0.24,3.19,7,0.38,8
12.3,0.9909,0.039,114,5,0.58,36,0.31,3.3,6.1,0.6,8
9.3,0.9982,0.054,196,15.6,0.3,51,0.34,3.19,6.7,0.49,5
8.8,0.9961,0.056,180,7.2,0.25,47,0.32,3.08,7.3,0.47,5
9.7,0.9978,0.053,190,15.7,0.33,51,0.28,3.22,6.5,0.51,6
9,0.9979,0.058,192,14.2,0.39,49,0.23,2.98,7.2,0.48,7
9,0.9979,0.058,192,14.2,0.39,49,0.23,2.98,7.2,0.48,7
9,0.9979,0.058,192,14.2,0.39,49,0.23,2.98,7.2,0.48,7
10.5,0.9945,0.041,155,5.8,0.31,53,0.15,3.52,5.9,0.46,6
9.1,1,0.066,195,19.8,0.42,53,0.28,2.96,7.4,0.44,5
9.8,0.9957,0.041,157,7.3,0.22,26,0.28,3.44,6.2,0.64,7
9.4,0.9934,0.046,175,1.2,0.27,34,0.33,3.37,6.3,0.54,6
9.4,0.9976,0.045,169,10.6,0.7,33,0.39,3.09,8.3,0.57,5
11.2,0.9932,0.041,187,3.8,0.46,82,0.19,3.19,7.2,0.6,7
10,0.997,0.046,146,11.3,0.44,65,0.17,3.17,7.5,0.45,6
10.8,0.9914,0.063,87,1.6,0,36,0.41,3.27,6.1,0.67,6
11.1,0.9914,0.055,168,1.3,0.21,42,0.29,3.32,6,0.43,6
9.9,0.9949,0.057,163,6.8,0.24,41,0.41,3.2,7.3,0.41,6
9.9,0.995,0.058,163,6.7,0.24,40,0.43,3.2,7.2,0.41,5
10.4,0.9927,0.036,134,4.9,0.27,30,0.33,3.2,6.2,0.42,7
10.4,0.9928,0.037,148,4.8,0.26,36,0.31,3.21,6.2,0.41,6
11.5,0.9917,0.035,100,2.1,0.27,16,0.36,3.4,6.1,0.71,7
12.5,0.9918,0.032,164,8.3,0.14,35,0.55,3.53,5,0.51,8
10,0.9954,0.042,149,3.7,0.41,37,0.25,3.36,7.8,0.45,6
10,0.9941,0.038,166,6.7,0.21,51,0.36,3.29,5.7,0.63,6
10,0.9941,0.04,167,6.6,0.21,50,0.34,3.29,5.8,0.62,5
9.1,0.9934,0.132,127,1.1,0.6,42,0.28,3.09,6.8,0.44,6
10.6,0.9927,0.031,134,4.7,0.34,34,0.25,3.21,6.8,0.38,6
10.1,0.9934,0.04,69,3.3,0.25,10,0.125,3.54,6.1,0.59,6
10.3,0.9927,0.041,65,1.1,0.24,15,0.1,3.61,6,0.61,7
10.5,0.9938,0.031,135,7.7,0.35,36,0.24,3.19,6.6,0.37,5
10.6,0.9927,0.031,134,4.7,0.34,34,0.25,3.21,6.8,0.38,6
10.4,0.9946,0.031,137,9.3,0.44,35,0.28,3.16,6.8,0.36,6
10.5,0.9946,0.057,313,5.8,0.31,131,0.27,3.18,7.5,0.59,5
10,0.9976,0.04,216,15.15,0.41,38,0.26,2.96,7.9,0.6,6
10,0.9944,0.039,143,6.3,0.23,37,0.34,3.19,6.4,0.65,6
12.5,0.9912,0.03,101,4.8,0.35,34,0.32,3.36,6.4,0.6,8
9.8,0.9954,0.038,133,9.9,0.34,30,0.28,3.11,6.5,0.44,5
10.8,0.9923,0.031,80,5.7,0.26,12,0.26,3.25,5.6,0.38,5
11.8,0.9906,0.033,91,1.8,0.3,16,0.23,3.28,6.3,0.4,6
11.2,0.991,0.036,105,1.5,0.33,15,0.23,3.32,6.3,0.42,6
9.3,0.9972,0.045,170,12.3,0.27,55,0.27,3.28,5.8,0.42,6
10,0.9948,0.047,129,1.5,0.36,17,0.24,3.2,8,0.54,6
10,0.9931,0.053,144,3,0.47,46,0.31,3.29,5.4,0.76,5
10,0.993,0.052,145,3,0.47,47,0.29,3.29,5.4,0.75,6
9.6,0.9942,0.05,131,4.6,0.33,33,0.145,3.28,7.1,0.4,6
11.2,0.9906,0.031,68,1.3,0.1,20,0.34,3.36,5.6,0.51,7
8.8,0.9995,0.056,155,15.6,0.41,75,0.19,3.2,6.7,0.44,6
10,0.997,0.054,137,11.2,0.45,56,0.17,3.15,7.6,0.47,5
11.4,0.9914,0.044,146,2.1,0.36,47,0.12,3.27,6.3,0.74,7
11.9,0.992,0.038,138,6.85,0.4,32,0.33,3.03,7.3,0.3,7
11.9,0.992,0.038,138,6.85,0.4,32,0.33,3.03,7.3,0.3,7
9.6,0.9937,0.047,245,4.4,0.42,38.5,0.4,3.25,5.8,0.57,6
10.4,0.994,0.05,152,1.4,0.39,19,0.2,3,10,0.42,6
8.9,0.9941,0.055,84,1.2,0.14,24,0.365,3.15,7.1,0.43,5
9.7,0.9942,0.05,127,5.3,0.3,40,0.15,3.4,6.8,0.39,6
9,0.9978,0.063,191,14.3,0.37,48,0.22,2.89,7.3,0.38,6
11.4,0.9923,0.037,102,2.3,0.4,18,0.16,3.49,6.8,0.42,7
12.3,0.9912,0.028,113,3.5,0.32,29,0.26,3.4,6,0.71,7
10.8,0.9923,0.089,143,1.5,0.27,40,0.18,3.49,6,0.62,6
9.4,0.9927,0.053,148,1,0.21,39,0.33,3.12,6.9,0.45,6
10.6,0.9931,0.049,178,2.3,0.48,36,0.29,3.17,7.7,0.64,6
10.6,0.9931,0.049,178,2.3,0.48,36,0.29,3.17,7.7,0.64,6
10,0.9934,0.048,204,0.8,0.19,17,0.905,3.34,6.6,0.56,5
9.2,0.9936,0.048,149,2.4,0.27,30,0.27,3.1,7.2,0.51,6
12.5,0.9893,0.027,89,1.6,0.22,18,0.33,3.51,5.1,0.38,7
10.4,0.9919,0.037,119,1.5,0.28,12,0.31,3.32,6.4,0.51,7
10,0.9924,0.045,98,1.4,0.44,21,0.2,3.15,7.3,0.46,7
10,0.9924,0.045,98,1.4,0.44,21,0.2,3.15,7.3,0.46,7
9,0.9975,0.046,179,12.5,0.26,48,0.28,3.1,7.2,0.52,6
9.2,0.9936,0.048,149,2.4,0.27,30,0.27,3.1,7.2,0.51,6
11.3,0.991,0.027,125,3.2,0.39,20,0.36,3.38,6,0.39,7
12.5,0.9893,0.027,89,1.6,0.22,18,0.33,3.51,5.1,0.38,7
10.8,0.9906,0.026,115,1.5,0.56,24,0.17,3.48,5,0.39,7
10.6,0.9916,0.031,66,1.1,0.32,13,0.36,3.1,6.5,0.46,5
10.2,0.9957,0.031,125,9.8,0.15,19,0.55,3.36,6.1,0.47,6
12.2,0.99,0.021,69,2,0.43,20,0.24,3.08,7.3,0.56,6
8.8,0.9976,0.044,163,11.8,0.51,62,0.37,3.19,6.8,0.44,5
10,0.992,0.04,168,1.3,0.12,87,0.27,3.18,6.8,0.41,5
11.4,0.9917,0.031,93,1.8,0.42,30,0.28,3.09,8.2,0.39,5
9.4,0.9993,0.048,168,18.2,0.27,52,0.26,3.35,5.9,0.44,5
9.2,0.9934,0.069,108,1.4,0.07,22,0.35,3.23,6.1,0.52,5
12.6,0.9918,0.035,170,6.3,0.31,33,0.22,3.24,6.8,0.66,6
10,0.992,0.04,168,1.3,0.12,87,0.27,3.18,6.8,0.41,5
12.8,0.9896,0.031,99,4,0.34,40,0.28,3.39,5.8,0.39,7
9.4,0.9932,0.049,125,1.2,0.24,13,0.49,3.17,6.9,0.51,5
10.3,0.992,0.044,116,1.2,0.39,26,0.14,3.26,6.3,0.53,6
9,0.9999,0.038,155,18.95,0.39,42,0.25,2.97,7.2,0.47,6
9.6,0.998,0.04,140,12.7,0.36,38,0.28,3.3,7.3,0.79,6
10.5,0.9918,0.036,85,1.2,0.39,32,0.19,3.16,7.2,0.5,5
9,0.9999,0.038,155,18.95,0.39,42,0.25,2.97,7.2,0.47,6
9.8,0.9927,0.041,99,1.2,0.27,27,0.21,3.19,7.4,0.33,6
9.8,0.9927,0.041,99,1.2,0.27,27,0.21,3.19,7.4,0.33,6
10.5,0.9929,0.05,137,1.6,0.28,33,0.31,3.31,7.4,0.56,6
12.7,0.9898,0.03,136,2.7,0.31,41,0.22,3.16,7,0.37,7
10.4,0.9954,0.045,221,8.6,0.28,37,0.21,3.25,7,0.54,6
10.5,0.9954,0.047,162,8.3,0.38,47,0.23,3.34,6.9,0.52,7
9.4,0.9974,0.053,194,13.3,0.5,48,0.29,3.09,6.8,0.45,5
9.1,0.9936,0.051,89,1.2,0.27,20,0.21,3.06,7.8,0.46,5
9.4,0.9974,0.053,194,13.3,0.5,48,0.29,3.09,6.8,0.45,5
9.9,0.9934,0.045,214,2.3,0.34,73.5,0.155,3.18,7.4,0.61,7
12.1,0.9922,0.028,104,7.1,0.36,31,0.23,3.35,7,0.47,8
12.2,0.992,0.027,97,6.2,0.37,24,0.2,3.38,6.9,0.49,7
9.8,0.9935,0.042,218.5,2.5,0.32,23,0.28,3.27,6.1,0.6,5
12.4,0.9906,0.035,186,1.4,0.32,49,0.16,3.35,6.6,0.64,8
9.9,0.9934,0.045,214,2.3,0.34,73.5,0.155,3.18,7.4,0.61,7
9.2,0.9934,0.06,108,1.2,0.04,23,0.35,3.26,6.2,0.54,5
11.6,0.9913,0.028,102,1.6,0.37,24,0.22,3.29,6.7,0.59,7
12.9,0.9898,0.026,126,2.2,0.28,54,0.25,3.43,6,0.65,8
12.4,0.9914,0.054,156,2.6,0.27,30,0.28,3.53,5.8,0.42,5
9.8,0.9982,0.048,113,14,0.24,24,0.41,3.44,6.5,0.53,6
10.5,0.9929,0.052,127,1.6,0.29,34,0.28,3.48,6.4,0.56,7
10.1,0.9921,0.038,128,1.2,0.25,34,0.2,3.24,6.1,0.44,5
10.6,0.9931,0.042,160,2.7,0.14,27,0.46,3.46,5.9,0.51,7
10.5,0.9924,0.046,113,1.6,0.27,32,0.27,3.41,6,0.51,7
10.5,0.9929,0.052,127,1.6,0.29,34,0.28,3.48,6.4,0.56,7
12.9,0.9892,0.022,82,1.5,0.31,11,0.23,3.3,6.3,0.4,7
9.8,0.9924,0.053,218.5,1,0.32,31,0.37,3.29,6,0.72,6
8.5,0.9971,0.059,249,9.1,0.35,83,0.43,3.37,6.1,0.5,5
9.5,0.9956,0.056,111,8.6,0.27,26,0.21,2.95,7.1,0.52,5
9.5,0.9973,0.047,162,12.4,0.19,50,0.25,3.35,5.9,0.38,5
